time,adversario,mandante,prob_vitoria,forca,adv_gc_pg,n_provaveis,n_valor_oculto,n_valor_bom,media_residuo_z,media_pb,preco_medio,concentracao_valor,momentum_of,momentum_def,sequencia,score_time,tier_time
CFC,BAH,True,0.345,zebra,1.4285714285714286,12,1,7,0.598,2.657,6.92,0.667,1.219,1.179,2.0,0.667,B
FLA,PAL,True,0.705,favorito_forte,0.875,10,1,5,0.66,3.465,10.83,0.6,1.071,0.692,7.0,0.637,B
REM,CAP,True,0.305,zebra,1.5714285714285714,12,1,4,0.416,2.637,6.07,0.417,1.347,1.067,3.0,0.629,B
VIT,INT,True,0.329,zebra,1.1428571428571428,11,1,6,0.699,2.904,7.1,0.636,1.167,1.091,-1.0,0.627,B
GRE,SAN,True,0.425,favorito,2.0,11,1,5,0.385,2.193,7.13,0.545,0.4,0.711,1.0,0.585,B
SAO,BOT,True,0.492,favorito,2.0,11,0,4,0.023,2.765,8.82,0.364,1.018,1.6,-2.0,0.575,B
CRU,CHA,True,0.446,equilibrado,1.6666666666666667,12,1,3,0.27,2.933,8.57,0.333,1.067,0.615,2.0,0.567,B
COR,CAM,True,0.527,favorito,1.25,12,0,3,0.164,3.152,9.07,0.25,1.371,1.244,-1.0,0.546,C
RBB,VAS,False,0.305,zebra,1.125,12,0,5,0.347,2.632,7.18,0.417,1.347,1.067,1.0,0.541,C
MIR,FLU,True,0.345,zebra,1.5714285714285714,12,0,3,0.022,2.18,5.59,0.25,1.059,0.913,-1.0,0.509,C
FLU,MIR,False,0.0,,1.375,12,2,5,0.701,3.083,8.73,0.583,1.067,1.219,2.0,0.49,C
VAS,RBB,True,0.448,favorito,1.25,12,0,4,0.124,2.641,7.09,0.333,0.873,1.024,-1.0,0.485,C
CAP,REM,False,0.225,zebra,1.2857142857142858,10,1,3,0.446,2.595,7.02,0.4,0.61,0.753,1.0,0.442,C
BAH,CFC,False,0.265,zebra,0.8571428571428571,12,1,4,0.336,2.952,7.33,0.417,0.857,1.421,1.0,0.416,C
SAN,GRE,False,0.234,zebra,0.8571428571428571,9,0,2,0.286,2.872,7.02,0.222,1.067,1.152,-1.0,0.399,D
INT,VIT,False,0.0,,0.42857142857142855,11,0,3,0.36,2.813,6.59,0.273,1.76,1.318,4.0,0.392,D
CHA,CRU,False,0.0,,1.25,11,0,2,0.156,1.99,4.89,0.182,1.125,1.2,-1.0,0.38,D
PAL,FLA,False,0.093,zebra,0.6666666666666666,12,0,3,0.428,3.291,9.72,0.25,0.615,0.738,11.0,0.243,D
CAM,COR,False,0.0,,1.0,12,1,0,-0.034,2.758,7.82,0.083,1.067,1.309,3.0,0.239,D
BOT,SAO,False,0.0,,0.7142857142857143,12,0,2,-0.131,2.114,7.09,0.167,1.138,0.75,2.0,0.222,D
