aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,nome_casa,nome_visitante,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,lambda_gols_casa,lambda_gols_vis,prob_btts_aprox
"['v', 'd', 'v', 'd', 'e']","['e', 'v', 'd', 'v', 'e']",Arena MRV,ENCERRADA,PAUSADO,POS_JOGO,2026-09-19 16:00:00,2026-09-19T21:01:39.875Z,1.0,1.0,346550,20,315,7,282,1789844400,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/19-09-2026/atletico-mg-chapecoense.ghtml?utm_source=cartolafc,CAM,CHA,,,,,,,,,1.3,1.1,0.485
"['d', 'e', 'e', 'v', 'e']","['e', 'd', 'v', 'e', 'e']",Maião,ENCERRADA,PAUSADO,POS_JOGO,2026-09-19 17:00:00,2026-09-19T22:04:29.097Z,0.0,2.0,346549,12,263,15,2305,1789848000,26,True,saiba como foi,https://ge.globo.com/sp/tem-esporte/futebol/brasileirao-serie-a/jogo/19-09-2026/mirassol-botafogo.ghtml?utm_source=cartolafc,MIR,BOT,,,,,,,,,1.5,1.0,0.491
"['e', 'v', 'v', 'v', 'e']","['d', 'd', 'd', 'd', 'e']",Mangueirão,ENCERRADA,PAUSADO,POS_JOGO,2026-09-19 18:30:00,2026-09-19T23:35:52.141Z,2.0,1.0,346554,8,277,19,364,1789853400,26,True,saiba como foi,https://ge.globo.com/pa/futebol/brasileirao-serie-a/jogo/19-09-2026/remo-santos.ghtml?utm_source=cartolafc,REM,SAN,6.0,5.4,1.3,0.149,0.165,,zebra,zebra,1.0,1.9,0.538
"['v', 'v', 'd', 'e', 'e']","['d', 'v', 'd', 'v', 'e']",São Januário,EM_ANDAMENTO,INICIADO,SEGUNDO_TEMPO,2026-09-19 20:30:00,2026-09-20T00:36:45.541Z,0.0,5.0,346546,9,294,16,267,1789860600,26,True,acompanhe em tempo real,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/19-09-2026/vasco-coritiba.ghtml?utm_source=cartolafc,VAS,CFC,1.32,6.75,4.7,0.677,0.132,,favorito_forte,zebra,1.5,2.0,0.672
"['e', 'd', 'd', 'v', 'e']","['d', 'v', 'v', 'd', 'e']",Morumbis,EM_ANDAMENTO,INICIADO,SEGUNDO_TEMPO,2026-09-19 21:00:00,2026-09-20T01:07:42.967Z,0.0,1.0,346547,18,285,11,276,1789862400,26,True,ao vivo,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/19-09-2026/sao-paulo-internacional.ghtml?utm_source=cartolafc,SAO,INT,1.94,4.43,3.32,0.494,0.217,0.419,favorito,zebra,1.3,1.2,0.508
"['d', 'v', 'e', 'e', 'v']","['d', 'v', 'd', 'd', 'd']",Arena do Grêmio,CRIADA,PAUSADO,,2026-09-20 11:00:00,,,,346551,2,275,17,284,1789912800,26,True,fique por dentro,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/20-09-2026/gremio-palmeiras.ghtml?utm_source=cartolafc,GRE,PAL,4.18,1.88,3.69,0.23,0.51,0.497,zebra,favorito,1.1,1.7,0.545
"['v', 'v', 'e', 'v', 'd']","['d', 'd', 'd', 'd', 'd']",Neo Química Arena,CRIADA,PAUSADO,,2026-09-20 16:00:00,,,,346548,5,266,14,264,1789930800,26,True,fique por dentro,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-09-2026/corinthians-fluminense.ghtml?utm_source=cartolafc,COR,FLU,2.17,3.73,3.19,0.442,0.257,0.389,equilibrado,zebra,1.3,1.9,0.619
"['v', 'v', 'd', 'v', 'd']","['v', 'd', 'd', 'v', 'e']",Barradão,CRIADA,PAUSADO,,2026-09-20 16:00:00,,,,346553,6,283,13,287,1789930800,26,True,fique por dentro,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/20-09-2026/vitoria-cruzeiro.ghtml?utm_source=cartolafc,VIT,CRU,2.88,2.38,3.1,0.319,0.385,,zebra,equilibrado,1.3,1.5,0.565
"['e', 'v', 'd', 'd', 'e']","['d', 'v', 'v', 'v', 'v']",Maracanã,CRIADA,PAUSADO,,2026-09-20 18:30:00,,,,346545,10,280,1,262,1789939800,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/20-09-2026/flamengo-bragantino.ghtml?utm_source=cartolafc,FLA,RBB,1.38,7.6,5.0,0.686,0.125,0.585,favorito_forte,zebra,1.6,0.9,0.474
"['e', 'v', 'v', 'v', 'v']","['e', 'v', 'e', 'd', 'e']",Arena da Baixada,CRIADA,PAUSADO,,2026-09-20 19:30:00,,,,346552,4,265,3,293,1789943400,26,True,fique por dentro,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/20-09-2026/atletico-pr-bahia.ghtml?utm_source=cartolafc,CAP,BAH,2.17,3.44,3.44,0.442,0.279,0.5,equilibrado,zebra,1.9,2.5,0.781
