abr_casa,abr_vis,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,commence_time
BOT,SAN,1.75,3.63,2.98,0.483,0.233,,favorito,zebra,2026-07-16T22:30:00Z
VIT,VAS,2.15,2.65,2.95,0.394,0.319,,equilibrado,zebra,2026-07-16T22:30:00Z
MIR,GRE,1.87,3.2,3.0,0.453,0.265,,favorito,zebra,2026-07-17T00:30:00Z
FLU,RBB,1.72,3.65,3.07,0.492,0.232,,favorito,zebra,2026-07-18T00:30:00Z
CAM,BAH,1.92,3.0,3.0,0.439,0.281,,favorito,zebra,2026-07-21T22:30:00Z
SAO,CAP,1.72,3.55,3.05,0.488,0.237,,favorito,zebra,2026-07-23T00:30:00Z
CHA,FLA,5.3,1.35,3.9,0.159,0.625,,zebra,favorito_forte,2026-07-23T00:30:00Z
INT,CRU,2.25,3.44,3.27,0.427,0.279,0.464,equilibrado,zebra,2026-07-23T00:30:00Z
COR,REM,1.55,4.1,3.0,0.528,0.2,,favorito,zebra,2026-07-23T22:30:00Z
CFC,PAL,3.3,1.95,3.3,0.271,0.458,,zebra,favorito,2026-07-24T00:30:00Z
