aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,nome_casa,nome_visitante,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,lambda_gols_casa,lambda_gols_vis,prob_btts_aprox
"['d', 'v', 'd', 'e', 'e']","['e', 'e', 'e', 'e', 'v']",Maracanã,,,,2026-08-22 16:00:00,,,,346371,18,364,4,266,1787425200,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/22-08-2026/fluminense-remo.ghtml?utm_source=cartolafc,FLU,REM,1.44,2.75,4.63,0.666,0.313,0.527,favorito_forte,zebra,1.4,1.1,0.503
"['v', 'e', 'v', 'e', 'v']","['d', 'd', 'e', 'e', 'e']",Beira-Rio,,,,2026-08-22 18:30:00,,,,346381,8,282,16,285,1787434200,26,True,fique por dentro,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/22-08-2026/internacional-atletico-mg.ghtml?utm_source=cartolafc,INT,CAM,2.16,5.25,3.24,0.444,0.181,0.479,equilibrado,zebra,0.7,1.5,0.391
"['v', 'e', 'e', 'v', 'v']","['v', 'd', 'v', 'v', 'v']",Mineirão,,,,2026-08-22 20:30:00,,,,346379,2,262,5,283,1787441400,26,True,fique por dentro,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/22-08-2026/cruzeiro-flamengo.ghtml?utm_source=cartolafc,CRU,FLA,3.0,5.5,3.25,0.311,0.157,0.469,zebra,zebra,1.1,1.7,0.545
"['d', 'd', 'e', 'e', 'd']","['v', 'd', 'v', 'e', 'd']",Nubank Parque,,,,2026-08-23 16:00:00,,,,346375,19,267,1,275,1787511600,26,True,fique por dentro,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/23-08-2026/palmeiras-vasco.ghtml?utm_source=cartolafc,PAL,VAS,1.65,2.45,3.95,0.582,0.351,0.504,favorito,equilibrado,1.6,0.7,0.402
"['d', 'd', 'e', 'v', 'd']","['v', 'e', 'e', 'd', 'e']",Cícero de Souza Marques,,,,2026-08-23 16:00:00,,,,346377,15,284,7,280,1787511600,26,True,fique por dentro,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/23-08-2026/bragantino-gremio.ghtml?utm_source=cartolafc,RBB,GRE,1.76,6.4,3.83,0.546,0.145,0.506,favorito,zebra,1.5,1.0,0.491
"['e', 'e', 'e', 'e', 'e']","['e', 'd', 'd', 'd', 'v']",Barradão,,,,2026-08-23 16:00:00,,,,346385,6,265,12,287,1787511600,26,True,fique por dentro,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/23-08-2026/vitoria-bahia.ghtml?utm_source=cartolafc,VIT,BAH,2.52,3.65,3.27,0.381,0.239,0.479,zebra,zebra,0.6,1.3,0.328
"['v', 'e', 'v', 'd', 'd']","['v', 'd', 'e', 'd', 'v']",Vila Belmiro,,,,2026-08-23 18:30:00,,,,346373,17,2305,14,277,1787520600,26,True,fique por dentro,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/23-08-2026/santos-mirassol.ghtml?utm_source=cartolafc,SAN,MIR,1.9,1.82,3.6,0.499,0.477,0.511,favorito,favorito,2.0,1.4,0.651
"['d', 'd', 'e', 'd', 'e']","['d', 'd', 'e', 'd', 'e']",Arena Condá,,,,2026-08-23 18:30:00,,,,346387,13,276,20,315,1787520600,26,True,fique por dentro,https://ge.globo.com/sc/futebol/brasileirao-serie-a/jogo/23-08-2026/chapecoense-sao-paulo.ghtml?utm_source=cartolafc,CHA,SAO,3.6,3.2,3.5,0.264,0.27,0.458,zebra,zebra,1.3,1.7,0.595
"['v', 'e', 'e', 'v', 'd']","['d', 'e', 'd', 'v', 'e']",Couto Pereira,,,,2026-08-23 19:30:00,,,,346383,9,264,10,294,1787524200,26,True,fique por dentro,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/23-08-2026/coritiba-corinthians.ghtml?utm_source=cartolafc,CFC,COR,3.15,4.5,3.04,0.304,0.211,0.377,zebra,zebra,0.7,1.3,0.366
"['v', 'v', 'e', 'v', 'e']","['v', 'e', 'v', 'e', 'd']",Nilton Santos (Engenhão),,,,2026-08-24 20:00:00,,,,346372,3,293,11,263,1787612400,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/24-08-2026/botafogo-atletico-pr.ghtml?utm_source=cartolafc,BOT,CAP,2.32,3.3,3.06,0.414,0.281,0.461,equilibrado,zebra,0.6,1.0,0.285
